Group,Filename,Full_Path,Ch0_Intensity,Ch0_LaplacianVar,Ch1_Intensity,Ch1_LaplacianVar,Ch2_Intensity,Ch2_LaplacianVar,Num_Channels
SNCA x3,003001_r07c07f01_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003001_r07c07f01_Composite_RGB.tif,8182.534669067215,39112540.73332328,3424.428090706447,3624157.5900216307,3562.4971244855965,395705.5546790442,3
SNCA x3,003001_r07c07f02_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003001_r07c07f02_Composite_RGB.tif,5339.567413408779,28431235.24953981,2791.8231464334704,2497885.060511046,2217.30541409465,259138.1181506953,3
SNCA x3,003001_r07c07f03_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003001_r07c07f03_Composite_RGB.tif,7387.811970164609,42759634.89236959,3817.2846304869686,3940766.0522359633,3270.5417686899864,399257.23381516605,3
SNCA x3,003001_r07c07f04_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003001_r07c07f04_Composite_RGB.tif,10034.414169238684,50013827.23384654,3492.155165466392,4885286.6411595065,4270.880764746228,353554.1761058316,3
SNCA x3,003001_r07c07f05_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003001_r07c07f05_Composite_RGB.tif,7473.287795781893,29660969.28428891,2930.483407921811,3664995.2858106,3058.7362054183814,265877.62497969053,3
SNCA x3,003001_r07c07f06_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003001_r07c07f06_Composite_RGB.tif,7325.973631687243,36125022.80320043,2634.4728077846366,3278445.504281095,3335.053431927298,314478.5001703761,3
SNCA x3,003001_r07c07f07_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003001_r07c07f07_Composite_RGB.tif,5825.43872856653,31360736.57970782,3287.611058813443,4771939.839210717,2013.5368501371743,289769.6141951683,3
SNCA x3,003001_r07c07f08_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003001_r07c07f08_Composite_RGB.tif,2697.5868209876544,7575832.570958957,1197.2591109396433,440478.9191896969,1595.8210528120712,99113.70197472438,3
SNCA x3,003001_r07c07f09_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003001_r07c07f09_Composite_RGB.tif,7151.752584019205,29386976.303807113,3836.663125,4232495.568804437,3461.394354423868,538562.8210267404,3
SNCA x3,003001_r07c07f10_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003001_r07c07f10_Composite_RGB.tif,6859.6206207133055,23698673.655277807,2201.775659293553,1551351.6743774002,3173.758381344307,190996.52481188023,3
SNCA x3,003001_r07c07f11_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003001_r07c07f11_Composite_RGB.tif,5945.388476508916,19160359.5458155,2369.9983616255145,2092705.4917253715,2623.547161351166,227238.85966555146,3
SNCA x3,003001_r07c07f12_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003001_r07c07f12_Composite_RGB.tif,6773.922861796982,19764193.53417034,2256.8531507201646,1634903.726208329,2849.9726646090535,174385.9810688339,3
SNCA x3,003001_r07c07f13_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003001_r07c07f13_Composite_RGB.tif,5273.635176611797,14322326.679789586,1825.5667198216736,1071092.748202383,2272.6530469821673,119173.75704971993,3
SNCA x3,003001_r07c07f14_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003001_r07c07f14_Composite_RGB.tif,8571.89701303155,33013787.85167976,3173.8289540466394,2320005.7809634404,3940.022390260631,315009.04045822326,3
SNCA x3,003001_r07c07f15_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003001_r07c07f15_Composite_RGB.tif,8269.759397290809,28360311.386307728,3285.654871399177,3273186.1353550334,3742.352770919067,340471.48688485037,3
SNCA x3,003001_r07c08f01_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003001_r07c08f01_Composite_RGB.tif,5829.719724794239,27049584.09292837,2948.796416323731,3675717.1089602625,2335.115925925926,251539.43931963196,3
SNCA x3,003001_r07c08f02_Composite_RGB.tif,C:\Users\admin\Desktop\MIP\SNCA x3\003001_r07c08f02_Composite_RGB.tif,9845.404581618655,48418086.84597772,4237.026171982167,7764701.082872787,4314.550054869685,502262.3540612299,3
